Country,Clicks,Impressions,CTR,Position
United States,556,136731,0.41%,12.16
United Kingdom,13,9296,0.14%,11.51
Canada,10,3444,0.29%,15.13
Germany,9,1165,0.77%,9.67
India,6,2387,0.25%,20.65
Netherlands,6,1515,0.4%,6.78
Spain,3,1624,0.18%,14.42
Mexico,3,876,0.34%,13.7
France,3,811,0.37%,10.37
Sweden,3,639,0.47%,8.27
Switzerland,3,403,0.74%,8.54
Italy,2,1604,0.12%,17.39
Belgium,2,590,0.34%,6.85
Poland,2,488,0.41%,8.48
Norway,2,457,0.44%,10.28
China,2,95,2.11%,9
Vietnam,1,1309,0.08%,20.57
Indonesia,1,1142,0.09%,16.63
Thailand,1,1093,0.09%,20.9
Malaysia,1,762,0.13%,18.67
Singapore,1,499,0.2%,11.66
Austria,1,452,0.22%,12.12
Colombia,1,444,0.23%,19.44
Japan,1,388,0.26%,12.15
Denmark,1,300,0.33%,7.48
Ireland,1,251,0.4%,9.61
Romania,1,210,0.48%,20.75
New Zealand,1,201,0.5%,8.93
United Arab Emirates,1,112,0.89%,14
Serbia,1,103,0.97%,10.9
Kenya,1,61,1.64%,9.7
Georgia,1,41,2.44%,12.56
Armenia,1,26,3.85%,7.54
Philippines,0,1961,0%,20.7
Brazil,0,1579,0%,19.09
Australia,0,1246,0%,11.9
Saudi Arabia,0,998,0%,22.6
Turkey,0,798,0%,18.5
South Korea,0,733,0%,14.09
Egypt,0,705,0%,21.16
Bangladesh,0,592,0%,19.41
Portugal,0,441,0%,15.51
Finland,0,435,0%,6.34
Oman,0,365,0%,22.47
Pakistan,0,337,0%,19.65
Nigeria,0,331,0%,20.87
Czechia,0,314,0%,7.71
Peru,0,314,0%,18.62
Argentina,0,267,0%,15.93
Trinidad & Tobago,0,260,0%,16.59
Morocco,0,258,0%,15.89
Venezuela,0,249,0%,21.42
Israel,0,245,0%,16.99
Ecuador,0,245,0%,17.13
South Africa,0,208,0%,10.59
Algeria,0,202,0%,14.72
Ukraine,0,192,0%,14.28
Chile,0,174,0%,12.99
Greece,0,168,0%,12.21
Hungary,0,159,0%,11.81
Taiwan,0,149,0%,10.7
Bulgaria,0,147,0%,8.36
Russia,0,129,0%,12.48
Dominican Republic,0,114,0%,11.91
Croatia,0,111,0%,8.19
Slovakia,0,99,0%,7.04
Jamaica,0,94,0%,6.89
Slovenia,0,92,0%,7.11
Lithuania,0,92,0%,7.12
Hong Kong,0,91,0%,10.33
Puerto Rico,0,79,0%,8.8
Costa Rica,0,79,0%,12.77
Ethiopia,0,78,0%,22.01
Estonia,0,69,0%,7.81
Belarus,0,60,0%,16.05
Iraq,0,59,0%,13.24
Bahamas,0,58,0%,7.29
Albania,0,58,0%,8.16
Jordan,0,50,0%,13.72
Guatemala,0,48,0%,13.42
Nepal,0,44,0%,14.66
Panama,0,43,0%,11.65
Honduras,0,41,0%,14.51
Barbados,0,37,0%,7.35
Latvia,0,37,0%,12.32
Kazakhstan,0,36,0%,16.47
Tunisia,0,36,0%,16.5
Cyprus,0,33,0%,9.09
Bosnia & Herzegovina,0,32,0%,9.47
Qatar,0,31,0%,10
Cambodia,0,31,0%,13.55
Moldova,0,31,0%,17.84
Malta,0,30,0%,5.37
Uzbekistan,0,30,0%,16.23
Mongolia,0,27,0%,11.7
Syria,0,27,0%,13.7
Kuwait,0,27,0%,15.41
Uruguay,0,27,0%,16.19
Lebanon,0,26,0%,9.27
Macedonia,0,25,0%,10
Iceland,0,24,0%,8.46
Azerbaijan,0,23,0%,9.7
Nicaragua,0,22,0%,16.41
Luxembourg,0,21,0%,5.57
Bahrain,0,20,0%,6.75
Bolivia,0,20,0%,11.9
Sri Lanka,0,20,0%,14.6
Ghana,0,19,0%,11.05
Paraguay,0,19,0%,13.11
El Salvador,0,19,0%,20.63
Belize,0,16,0%,13.44
St. Kitts & Nevis,0,15,0%,9.53
Senegal,0,15,0%,11.2
Guam,0,14,0%,3.93
Palestine,0,14,0%,10.07
Kosovo,0,13,0%,11.54
U.S. Virgin Islands,0,12,0%,6.83
Guyana,0,12,0%,6.92
Curaçao,0,12,0%,7.75
Côte d’Ivoire,0,12,0%,14.17
Myanmar (Burma),0,12,0%,32.92
Laos,0,11,0%,7.73
Isle of Man,0,11,0%,8.09
Unknown Region,0,11,0%,11
Zimbabwe,0,10,0%,10.6
St. Lucia,0,9,0%,6.11
Tanzania,0,9,0%,13.67
Congo - Kinshasa,0,9,0%,14.22
Brunei,0,9,0%,17.67
Montenegro,0,9,0%,18
Macau,0,8,0%,6.12
Aruba,0,8,0%,7.88
Mauritius,0,8,0%,7.88
Antigua & Barbuda,0,8,0%,10.88
Kyrgyzstan,0,7,0%,22.14
Andorra,0,6,0%,6.33
Haiti,0,6,0%,7
Cayman Islands,0,6,0%,7.5
Libya,0,6,0%,8.83
Iran,0,6,0%,14.5
Jersey,0,5,0%,8.4
Suriname,0,5,0%,9
Uganda,0,5,0%,10.4
Zambia,0,5,0%,11.6
Botswana,0,5,0%,29.4
Liechtenstein,0,4,0%,4
Sierra Leone,0,4,0%,5.25
Mozambique,0,4,0%,7.25
Cuba,0,4,0%,7.75
Turks & Caicos Islands,0,4,0%,8.25
Fiji,0,4,0%,9.25
Grenada,0,4,0%,9.75
Bermuda,0,4,0%,11
Sudan,0,4,0%,12
Yemen,0,4,0%,17
British Virgin Islands,0,3,0%,6.33
Papua New Guinea,0,3,0%,6.67
Cameroon,0,3,0%,8.33
Caribbean Netherlands,0,3,0%,8.67
Dominica,0,3,0%,9
Guinea,0,3,0%,12.67
Malawi,0,3,0%,16.67
Namibia,0,3,0%,19
Angola,0,3,0%,20.67
Gibraltar,0,2,0%,6.5
Swaziland,0,2,0%,7.5
Maldives,0,2,0%,8.5
Martinique,0,2,0%,10
Benin,0,2,0%,10.5
Bhutan,0,2,0%,11
Sint Maarten,0,2,0%,11.5
Guadeloupe,0,2,0%,13
Liberia,0,2,0%,19
Gabon,0,2,0%,22
Seychelles,0,2,0%,23.5
Western Sahara,0,2,0%,25.5
Somalia,0,2,0%,25.5
Anguilla,0,1,0%,1
Faroe Islands,0,1,0%,1
Northern Mariana Islands,0,1,0%,1
Tonga,0,1,0%,1
Vanuatu,0,1,0%,1
Afghanistan,0,1,0%,2
